"Title","Brand","MSRP","Year"
"Acer Aspire A515-58 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Aspire A515-58 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Aspire A517 Intel Core i5 7th Gen Laptop","Acer",600,2016
"Acer Aspire A517 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Aspire A517 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Aspire A717 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Aspire A717 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Aspire Nitro VN7-571 Laptop","Acer",900,2015
"Acer Aspire Nitro VN7-572 Laptop","Acer",900,2015
"Acer Aspire Nitro VN7-591 Laptop","Acer",900,2015
"Acer Aspire Nitro VN7-592 Laptop","Acer",900,2015
"Acer Aspire Nitro VN7-791 Laptop","Acer",900,2015
"Acer Aspire Nitro VN7-792 Laptop","Acer",900,2015
"Acer Aspire R5-571 Laptop","Acer",700,2016
"Acer Aspire R5-572 Laptop","Acer",700,2016
"Acer Aspire R7-571 Laptop","Acer",700,2013
"Acer Aspire R7-572 Laptop","Acer",700,2013
"Acer Aspire Vero AV14 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Aspire Vero AV14 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Aspire Vero AV14 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Aspire Vero AV14 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Aspire Vero AV15 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Aspire Vero AV15 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Aspire Vero AV15 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Aspire Vero AV15 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Aspire Vero AV16 Intel Core Ultra 5 Laptop","Acer",650,2023
"Acer Aspire Vero AV16 Intel Core Ultra 7 Laptop","Acer",650,2023
"Acer Aspire VX5-591 Intel Core i5 7th Gen Nvidia GTX 1050 Laptop","Acer",600,2016
"Acer Aspire VX5-591 Intel Core i7 7th Gen Nvidia GTX 1050 Laptop","Acer",800,2016
"Acer Chromebook Spin 713 Intel Core i3 10th Gen Laptop","Acer",450,2019
"Acer Chromebook Spin 713 Intel Core i3 11th Gen Laptop","Acer",450,2020
"Acer Chromebook Spin 713 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Chromebook Spin 713 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer Chromebook Spin 713 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Chromebook Spin 713 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Chromebook Spin 714 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Chromebook Spin 714 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Chromebook Spin 714 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Chromebook Spin 714 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer ConceptD 3 Ezel Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer ConceptD 3 Ezel Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer ConceptD 3 Pro Intel Core i5 9th Gen Laptop","Acer",600,2018
"Acer ConceptD 3 Pro Intel Core i7 9th Gen Laptop","Acer",800,2018
"Acer ConceptD 5 Ezel Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer ConceptD 5 Ezel Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer ConceptD 5 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer ConceptD 5 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer ConceptD 5 Pro Intel Core i5 9th Gen Laptop","Acer",600,2018
"Acer ConceptD 5 Pro Intel Core i7 9th Gen Laptop","Acer",800,2018
"Acer ConceptD 7 Ezel Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer ConceptD 7 Pro Intel Core i7 9th Gen Laptop","Acer",800,2018
"Acer ConceptD 9 Ezel Intel Core i9 10th Gen Laptop","Acer",1200,2019
"Acer ConceptD 9 Pro Intel Core i9 9th Gen Laptop","Acer",1200,2018
"Acer ENDURO Urban N3 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer ENDURO Urban N3 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Nitro 14 AN14 Ryzen 7 Gen Nvidia RTX Laptop","Acer",800,2017
"Acer Nitro 16 AN16 Intel Core i5 13th Gen Nvidia RTX Laptop","Acer",600,2022
"Acer Nitro 16 AN16 Intel Core i7 13th Gen Nvidia RTX Laptop","Acer",800,2022
"Acer Nitro 16 AN16 Ryzen 5 Gen Nvidia RTX Laptop","Acer",600,2017
"Acer Nitro 16 AN16 Ryzen 7 Gen Nvidia RTX Laptop","Acer",800,2017
"Acer Nitro 16 AN16 Ryzen 9 Gen Nvidia RTX Laptop","Acer",1200,2019
"Acer Nitro 17 AN17 AMD Ryzen 7 Nvidia RTX 4050 Laptop","Acer",800,2017
"Acer Nitro 17 AN17 AMD Ryzen 7 Nvidia RTX 4060 Laptop","Acer",800,2017
"Acer Nitro 17 AN17 Intel Core i7 14th Gen Nvidia RTX 4060 Laptop","Acer",800,2023
"Acer Nitro 17 AN17 Intel Core i7 14th Gen Nvidia RTX 4070 Laptop","Acer",800,2023
"Acer Nitro 17 AN17 Intel Core i7 14th Gen Nvidia RTX 4080 Laptop","Acer",800,2023
"Acer Nitro 5 AN515 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer Nitro 5 AN515 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Nitro 5 AN515 AMD Ryzen 9 Laptop","Acer",1200,2019
"Acer Nitro 5 AN515 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Nitro 5 AN515 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer Nitro 5 AN515 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Nitro 5 AN515 Intel Core i5 7th Gen Laptop","Acer",600,2016
"Acer Nitro 5 AN515 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Nitro 5 AN515 Intel Core i5 9th Gen Laptop","Acer",600,2018
"Acer Nitro 5 AN515 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Nitro 5 AN515 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Nitro 5 AN515 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Nitro 5 AN515 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Nitro 5 AN515 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Nitro 5 AN515 Intel Core i7 9th Gen Laptop","Acer",800,2018
"Acer Nitro 5 AN517 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer Nitro 5 AN517 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Nitro 5 AN517 AMD Ryzen 9 Laptop","Acer",1200,2019
"Acer Nitro 5 AN517 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Nitro 5 AN517 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer Nitro 5 AN517 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Nitro 5 AN517 Intel Core i5 9th Gen Laptop","Acer",600,2018
"Acer Nitro 5 AN517 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Nitro 5 AN517 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Nitro 5 AN517 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Nitro 5 AN517 Intel Core i7 9th Gen Laptop","Acer",800,2018
"Acer Nitro 5 Spin NP515 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Nitro 5 Spin NP515 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Nitro V ANV15 AMD Ryzen 5 Nvidia RTX Laptop","Acer",600,2017
"Acer Nitro V ANV15 AMD Ryzen 7 Nvidia RTX Laptop","Acer",800,2017
"Acer Nitro V ANV15 Intel Core i5 13th Gen Nvidia RTX Laptop","Acer",600,2022
"Acer Nitro V ANV15 Intel Core i7 13th Gen Nvidia RTX Laptop","Acer",800,2022
"Acer Nitro V ANV16 AMD Ryzen 5 Nvidia RTX Laptop","Acer",600,2017
"Acer Nitro V ANV16 AMD Ryzen 7 Nvidia RTX Laptop","Acer",800,2017
"Acer Predator 17 X GX-791 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator 17 X GX-792 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Predator G5-793 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G5-793 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Predator G9-591 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-592 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-593 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-593 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Predator G9-791 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-792 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-793 Intel Core i7 6th Gen Laptop","Acer",800,2015
"Acer Predator G9-793 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Predator Helios 16 Intel Core i7 13th Gen Nvidia RTX 4060 Laptop","Acer",800,2022
"Acer Predator Helios 16 Intel Core i7 13th Gen Nvidia RTX 4070 Laptop","Acer",800,2022
"Acer Predator Helios 16 Intel Core i7 13th Gen Nvidia RTX 4080 Laptop","Acer",800,2022
"Acer Predator Helios 16 Intel Core i7 14th Gen Nvidia RTX 4060 Laptop","Acer",800,2023
"Acer Predator Helios 16 Intel Core i7 14th Gen Nvidia RTX 4070 Laptop","Acer",800,2023
"Acer Predator Helios 16 Intel Core i7 14th Gen Nvidia RTX 4080 Laptop","Acer",800,2023
"Acer Predator Helios 16 Intel Core i9 13th Gen Nvidia RTX 4060 Laptop","Acer",1200,2022
"Acer Predator Helios 16 Intel Core i9 13th Gen Nvidia RTX 4070 Laptop","Acer",1200,2022
"Acer Predator Helios 16 Intel Core i9 13th Gen Nvidia RTX 4080 Laptop","Acer",1200,2022
"Acer Predator Helios 16 Intel Core i9 14th Gen Nvidia RTX 4060 Laptop","Acer",1200,2023
"Acer Predator Helios 16 Intel Core i9 14th Gen Nvidia RTX 4070 Laptop","Acer",1200,2023
"Acer Predator Helios 16 Intel Core i9 14th Gen Nvidia RTX 4080 Laptop","Acer",1200,2023
"Acer Predator Helios 18 Intel Core i7 13th Gen Nvidia RTX 4060 Laptop","Acer",800,2022
"Acer Predator Helios 18 Intel Core i7 13th Gen Nvidia RTX 4070 Laptop","Acer",800,2022
"Acer Predator Helios 18 Intel Core i7 13th Gen Nvidia RTX 4080 Laptop","Acer",800,2022
"Acer Predator Helios 18 Intel Core i9 13th Gen Nvidia RTX 4080 Laptop","Acer",1200,2022
"Acer Predator Helios 18 Intel Core i9 13th Gen Nvidia RTX 4090 Laptop","Acer",1200,2022
"Acer Predator Helios 18 Intel Core i9 14th Gen Nvidia RTX 4080 Laptop","Acer",1200,2023
"Acer Predator Helios 18 Intel Core i9 14th Gen Nvidia RTX 4090 Laptop","Acer",1200,2023
"Acer Predator Helios 300 Intel Core i5 9th Gen Nvidia GTX 1560 Laptop","Acer",600,2018
"Acer Predator Helios 300 Intel Core i7 10th Gen Nvidia GTX 1660 Laptop","Acer",800,2019
"Acer Predator Helios 300 Intel Core i7 10th Gen Nvidia RTX 2060 Laptop","Acer",800,2019
"Acer Predator Helios 300 Intel Core i7 10th Gen Nvidia RTX 2070 Laptop","Acer",800,2019
"Acer Predator Helios 300 Intel Core i7 11th Gen Nvidia RTX 3050 Laptop","Acer",800,2020
"Acer Predator Helios 300 Intel Core i7 11th Gen Nvidia RTX 3060 Laptop","Acer",800,2020
"Acer Predator Helios 300 Intel Core i7 11th Gen Nvidia RTX 3070 Laptop","Acer",800,2020
"Acer Predator Helios 300 Intel Core i7 12th Gen Nvidia RTX 3050 Laptop","Acer",800,2021
"Acer Predator Helios 300 Intel Core i7 12th Gen Nvidia RTX 3060 Laptop","Acer",800,2021
"Acer Predator Helios 300 Intel Core i7 12th Gen Nvidia RTX 3070 Laptop","Acer",800,2021
"Acer Predator Helios 300 Intel Core i7 12th Gen Nvidia RTX 3080 Laptop","Acer",800,2021
"Acer Predator Helios 300 Intel Core i7 7th Gen Nvidia GTX 1060 Laptop","Acer",800,2016
"Acer Predator Helios 300 Intel Core i7 8th Gen Nvidia GTX 1060 Laptop","Acer",800,2017
"Acer Predator Helios 300 Intel Core i7 9th Gen Nvidia GTX 1660 Laptop","Acer",800,2018
"Acer Predator Helios 300 Intel Core i7 9th Gen Nvidia RTX 2060 Laptop","Acer",800,2018
"Acer Predator Helios 300 Intel Core i7 9th Gen Nvidia RTX 2070 Laptop","Acer",800,2018
"Acer Predator Helios 300 Intel Core i9 11th Gen Nvidia RTX 3060 Laptop","Acer",1200,2020
"Acer Predator Helios 300 Intel Core i9 11th Gen Nvidia RTX 3070 Laptop","Acer",1200,2020
"Acer Predator Helios 300 Intel Core i9 12th Gen Nvidia RTX 3070 Laptop","Acer",1200,2021
"Acer Predator Helios 300 Intel Core i9 12th Gen Nvidia RTX 3080 Laptop","Acer",1200,2021
"Acer Predator Helios 500 AMD Ryzen 7 Radeon RX Vega 56 Laptop","Acer",800,2017
"Acer Predator Helios 500 Intel Core i7 8th Gen Nvidia GTX 1070 Laptop","Acer",800,2017
"Acer Predator Helios 500 Intel Core i9 8th Gen Nvidia GTX 1070 Laptop","Acer",1200,2017
"Acer Predator Helios 700 Intel Core i7 10th Gen Nvidia RTX Laptop","Acer",800,2019
"Acer Predator Helios 700 Intel Core i7 9th Gen Nvidia RTX Laptop","Acer",800,2018
"Acer Predator Helios 700 Intel Core i9 10th Gen Nvidia RTX Laptop","Acer",1200,2019
"Acer Predator Helios 700 Intel Core i9 9th Gen Nvidia RTX Laptop","Acer",1200,2018
"Acer Predator Helios Neo 14 Intel Core Ultra 7 Nvidia RTX 4070 Laptop","Acer",900,2023
"Acer Predator Helios Neo 14 Intel Core Ultra 9 Nvidia RTX 4070 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 16 Intel Core i5 13th Gen Nvidia RTX 4050 Laptop","Acer",600,2022
"Acer Predator Helios Neo 16 Intel Core i5 13th Gen Nvidia RTX 4060 Laptop","Acer",600,2022
"Acer Predator Helios Neo 16 Intel Core i7 13th Gen Nvidia RTX 4050 Laptop","Acer",800,2022
"Acer Predator Helios Neo 16 Intel Core i7 13th Gen Nvidia RTX 4060 Laptop","Acer",800,2022
"Acer Predator Helios Neo 16 Intel Core i7 14th Gen Nvidia RTX 4060 Laptop","Acer",800,2023
"Acer Predator Helios Neo 16 Intel Core i7 14th Gen Nvidia RTX 4070 Laptop","Acer",800,2023
"Acer Predator Helios Neo 16 Intel Core i7 14th Gen Nvidia RTX 4080 Laptop","Acer",800,2023
"Acer Predator Helios Neo 16 Intel Core i9 13th Gen Nvidia RTX 4060 Laptop","Acer",1200,2022
"Acer Predator Helios Neo 16 Intel Core i9 13th Gen Nvidia RTX 4070 Laptop","Acer",1200,2022
"Acer Predator Helios Neo 16 Intel Core i9 13th Gen Nvidia RTX 4080 Laptop","Acer",1200,2022
"Acer Predator Helios Neo 16 Intel Core i9 14th Gen Nvidia RTX 4060 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 16 Intel Core i9 14th Gen Nvidia RTX 4070 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 16 Intel Core i9 14th Gen Nvidia RTX 4080 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 18 Intel Core i7 14th Gen Nvidia RTX 4070 Laptop","Acer",800,2023
"Acer Predator Helios Neo 18 Intel Core i7 14th Gen Nvidia RTX 4080 Laptop","Acer",800,2023
"Acer Predator Helios Neo 18 Intel Core i7 14th Gen Nvidia RTX 4090 Laptop","Acer",800,2023
"Acer Predator Helios Neo 18 Intel Core i9 14th Gen Nvidia RTX 4070 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 18 Intel Core i9 14th Gen Nvidia RTX 4080 Laptop","Acer",1200,2023
"Acer Predator Helios Neo 18 Intel Core i9 14th Gen Nvidia RTX 4090 Laptop","Acer",1200,2023
"Acer Predator Triton 14 Intel Core i7 13th Gen Nvidia RTX 4050 Laptop","Acer",800,2022
"Acer Predator Triton 14 Intel Core i7 13th Gen Nvidia RTX 4060 Laptop","Acer",800,2022
"Acer Predator Triton 17 X Intel Core i9 13th Gen Nvidia RTX 4090 Laptop","Acer",1200,2022
"Acer Predator Triton 300 Intel Core i7 10th Gen Nvidia RTX 2060 Laptop","Acer",800,2019
"Acer Predator Triton 300 Intel Core i7 10th Gen Nvidia RTX 2070 Laptop","Acer",800,2019
"Acer Predator Triton 300 Intel Core i7 11th Gen Nvidia RTX 3050 Laptop","Acer",800,2020
"Acer Predator Triton 300 Intel Core i7 11th Gen Nvidia RTX 3060 Laptop","Acer",800,2020
"Acer Predator Triton 300 Intel Core i7 11th Gen Nvidia RTX 3070 Laptop","Acer",800,2020
"Acer Predator Triton 300 Intel Core i7 12th Gen Nvidia RTX 3060 Laptop","Acer",800,2021
"Acer Predator Triton 300 Intel Core i7 12th Gen Nvidia RTX 3070 Laptop","Acer",800,2021
"Acer Predator Triton 500 Intel Core i7 10th Gen Nvidia RTX 2070 Laptop","Acer",800,2019
"Acer Predator Triton 500 Intel Core i7 10th Gen Nvidia RTX 2080 Laptop","Acer",800,2019
"Acer Predator Triton 500 Intel Core i7 11th Gen Nvidia RTX 3060 Laptop","Acer",800,2020
"Acer Predator Triton 500 Intel Core i7 11th Gen Nvidia RTX 3070 Laptop","Acer",800,2020
"Acer Predator Triton 500 Intel Core i7 12th Gen Nvidia RTX 3060 Laptop","Acer",800,2021
"Acer Predator Triton 500 Intel Core i7 12th Gen Nvidia RTX 3070 Laptop","Acer",800,2021
"Acer Predator Triton 500 Intel Core i7 8th Gen Nvidia GTX 1070 Laptop","Acer",800,2017
"Acer Predator Triton 500 Intel Core i7 8th Gen Nvidia RTX 2060 Laptop","Acer",800,2017
"Acer Predator Triton 500 Intel Core i7 8th Gen Nvidia RTX 2080 Laptop","Acer",800,2017
"Acer Predator Triton 500 Intel Core i7 9th Gen Nvidia RTX 2060 Laptop","Acer",800,2018
"Acer Predator Triton 500 Intel Core i7 9th Gen Nvidia RTX 2080 Laptop","Acer",800,2018
"Acer Predator Triton 500 Intel Core i9 12th Gen Nvidia RTX 3080 Laptop","Acer",1200,2021
"Acer Predator Triton 700 Intel Core i7 7th Gen Nvidia GTX 1080 Laptop","Acer",800,2016
"Acer Predator Triton 900 Intel Core i7 9th Gen Nvidia RTX 2080 Laptop","Acer",800,2018
"Acer Predator Triton 900 Intel Core i9 9th Gen Nvidia RTX 2080 Laptop","Acer",1200,2018
"Acer Predator Triton Neo 16 Intel Core Ultra 7 Nvidia RTX Laptop","Acer",800,2019
"Acer Predator Triton Neo 16 Intel Core Ultra 9 Nvidia RTX Laptop","Acer",800,2019
"Acer Spin SP314 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Spin SP314 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Spin SP513 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Spin SP513 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Spin SP515 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Spin SP515 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Swift 14 AI SF14-11 Snapdragon X Plus Laptop","Acer",800,2019
"Acer Swift 14 SF14-71T Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Swift 3 OLED SF314 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer Swift 3 OLED SF314 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Swift 3 SF314 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer Swift 3 SF314 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Swift 3 SF314 Intel Core i5 10th Gen Laptop","Acer",600,2019
"Acer Swift 3 SF314 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer Swift 3 SF314 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Swift 3 SF314 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Swift 3 SF314 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Swift 3 SF314 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Swift 3 SF315 AMD Ryzen 3 Laptop","Acer",450,2017
"Acer Swift 3 SF315 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer Swift 3 SF315 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Swift 5 SF514 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer Swift 5 SF514 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Swift 5 SF514 Intel Core i7 10th Gen Laptop","Acer",800,2019
"Acer Swift 5 SF514 Intel Core i7 11th Gen Laptop","Acer",800,2020
"Acer Swift 5 SF514 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Swift 5 SF514 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Swift 7 SF713 Intel Core i5 7th Gen Laptop","Acer",600,2016
"Acer Swift 7 SF713 Intel Core i7 7th Gen Laptop","Acer",800,2016
"Acer Swift 7 SF714 Intel Core i5 8th Gen Laptop","Acer",600,2017
"Acer Swift 7 SF714 Intel Core i7 8th Gen Laptop","Acer",800,2017
"Acer Swift Edge 16 AMD Ryzen 7 6800U Laptop","Acer",800,2017
"Acer Swift Edge 16 AMD Ryzen 7 7735U Laptop","Acer",800,2017
"Acer Swift Edge 16 AMD Ryzen 7 7840U Laptop","Acer",800,2017
"Acer Swift Go 14 SFG14 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Swift Go 14 SFG14 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Swift Go 14 SFG14-72 Intel Core Ultra 5 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-72 Intel Core Ultra 7 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-72T Intel Core Ultra 5 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-72T Intel Core Ultra 7 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-73 Intel Core Ultra 5 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-73 Intel Core Ultra 7 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-73T Intel Core Ultra 5 Laptop","Acer",800,2019
"Acer Swift Go 14 SFG14-73T Intel Core Ultra 7 Laptop","Acer",800,2019
"Acer Swift Go SFG16-71 16 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer Swift Go SFG16-71 16 Intel Core i7 13th Gen Laptop","Acer",800,2022
"Acer Swift Go SFG16-72T 16 Intel Core Ultra 5 Laptop","Acer",800,2019
"Acer Swift Go SFG16-72T 16 Intel Core Ultra 7 Laptop","Acer",800,2019
"Acer Swift Go SFG16-72T 16 Intel Core Ultra 9 Laptop","Acer",800,2019
"Acer Swift X 14 Intel Core Ultra 7 Laptop","Acer",1100,2023
"Acer Swift X SFX14 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer Swift X SFX14 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Swift X SFX14 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer Swift X SFX16 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer Swift X SFX16 AMD Ryzen 9 Laptop","Acer",1200,2019
"Acer Swift X SFX16 Intel Core i7 12th Gen Laptop","Acer",800,2021
"Acer TravelMate P2 AMD Ryzen 5 Laptop","Acer",600,2017
"Acer TravelMate P2 AMD Ryzen 7 Laptop","Acer",800,2017
"Acer TravelMate P2 Intel Core i5 11th Gen Laptop","Acer",600,2020
"Acer TravelMate P2 Intel Core i5 12th Gen Laptop","Acer",600,2021
"Acer TravelMate P2 Intel Core i5 13th Gen Laptop","Acer",600,2022
"Acer TravelMate P2 Intel Core i7 11th Gen Laptop","Acer",800,2020
